Num_procs, Size, User, Real, System
4, 1024, 0.792000, 0.081000, 0.087000
8, 1024, 0.581000, 0.206000, 0.117000
16, 1024, 0.581000, 0.177000, 0.113000
32, 1024, 0.604000, 0.103000, 0.073000
64, 1024, 0.598000, 0.183000, 0.125000
128, 1024, 0.614000, 0.376000, 0.197000
256, 1024, 0.672000, 0.353000, 0.212000
4, 2048, 0.528000, 0.298000, 0.140000
8, 2048, 0.618000, 0.067000, 0.091000
16, 2048, 0.589000, 0.158000, 0.071000
32, 2048, 0.732000, 0.197000, 0.125000
64, 2048, 0.616000, 0.246000, 0.125000
128, 2048, 0.650000, 0.468000, 0.169000
256, 2048, 0.696000, 0.435000, 0.157000
4, 4096, 0.581000, 0.162000, 0.096000
8, 4096, 0.615000, 0.116000, 0.103000
16, 4096, 0.597000, 0.094000, 0.072000
32, 4096, 0.595000, 0.264000, 0.129000
64, 4096, 0.634000, 0.250000, 0.126000
128, 4096, 0.637000, 0.332000, 0.184000
256, 4096, 0.728000, 0.348000, 0.163000
4, 8192, 0.583000, 0.161000, 0.108000
8, 8192, 0.649000, 0.133000, 0.118000
16, 8192, 0.590000, 0.144000, 0.110000
32, 8192, 0.597000, 0.075000, 0.061000
64, 8192, 0.623000, 0.222000, 0.130000
128, 8192, 0.676000, 0.324000, 0.151000
256, 8192, 1.166000, 0.315000, 0.110000
4, 16384, 0.666000, 0.068000, 0.076000
8, 16384, 0.589000, 0.286000, 0.103000
16, 16384, 0.606000, 0.120000, 0.066000
32, 16384, 0.627000, 0.124000, 0.078000
64, 16384, 0.644000, 0.202000, 0.140000
128, 16384, 0.778000, 0.342000, 0.136000
256, 16384, 1.509000, 0.357000, 0.193000
4, 32768, 0.637000, 0.104000, 0.087000
8, 32768, 0.615000, 0.187000, 0.094000
16, 32768, 0.615000, 0.255000, 0.105000
32, 32768, 0.673000, 0.103000, 0.078000
64, 32768, 0.785000, 0.198000, 0.145000
128, 32768, 0.927000, 0.313000, 0.107000
256, 32768, 1.905000, 0.322000, 0.166000
4, 65536, 0.709000, 0.103000, 0.073000
8, 65536, 0.607000, 0.140000, 0.111000
16, 65536, 0.680000, 0.211000, 0.104000
32, 65536, 0.729000, 0.305000, 0.135000
64, 65536, 0.867000, 0.275000, 0.086000
128, 65536, 1.534000, 0.304000, 0.178000
256, 65536, 2.481000, 0.094000, 0.062000
4, 1310724, 0.643000, 0.069000, 0.077000
8, 1310728, 0.652000, 0.251000, 0.106000
16, 13107216, 0.769000, 0.113000, 0.093000
32, 13107232, 0.858000, 0.158000, 0.115000
64, 13107264, 1.105000, 0.188000, 0.106000
128, 131072128, 2.061000, 0.290000, 0.145000
256, 131072256, 4.163000, 0.480000, 0.248000
4, 2621444, 0.693000, 0.100000, 0.078000
8, 2621448, 0.713000, 0.096000, 0.084000
16, 26214416, 0.849000, 0.125000, 0.066000
32, 26214432, 1.128000, 0.157000, 0.099000
64, 26214464, 1.579000, 0.139000, 0.115000
128, 262144128, 3.181000, 0.245000, 0.104000
256, 262144256, 7.540000, 0.226000, 0.149000
4, 5242884, 0.917000, 0.139000, 0.053000
8, 5242888, 0.859000, 0.140000, 0.073000
16, 52428816, 1.193000, 0.162000, 0.078000
32, 52428832, 1.734000, 0.111000, 0.105000
64, 52428864, 2.611000, 0.140000, 0.081000
128, 524288128, 5.609000, 0.133000, 0.122000
256, 524288256, 14.310000, 0.088000, 0.080000
