size,runtime
73728,0.0011529922485351562
73728,0.0009148120880126953
73728,0.0008738040924072266
73728,0.0009274482727050781
73728,0.0009086132049560547
147456,0.0009124279022216797
147456,0.0009748935699462891
147456,0.0009417533874511719
147456,0.0009491443634033203
147456,0.0009517669677734375
294912,0.0009417533874511719
294912,0.0009098052978515625
294912,0.0009331703186035156
294912,0.0008916854858398438
294912,0.0009555816650390625
589824,0.0008823871612548828
589824,0.0008931159973144531
589824,0.0009493827819824219
589824,0.0009400844573974609
589824,0.0009670257568359375
1179648,0.0009021759033203125
1179648,0.0009515285491943359
1179648,0.0009036064147949219
1179648,0.0009024143218994141
1179648,0.0010695457458496094
2359296,0.0008649826049804688
2359296,0.0008451938629150391
2359296,0.0008571147918701172
2359296,0.000835418701171875
2359296,0.0009036064147949219
4718592,0.00081634521484375
4718592,0.0008251667022705078
4718592,0.0008406639099121094
4718592,0.0008063316345214844
4718592,0.0008709430694580078
9437184,0.0008704662322998047
9437184,0.0008025169372558594
9437184,0.0008921623229980469
9437184,0.0007843971252441406
9437184,0.0008788108825683594
18874368,0.0007925033569335938
18874368,0.0008327960968017578
18874368,0.0008041858673095703
18874368,0.0008089542388916016
18874368,0.0007996559143066406
